nombre,precio,artista,lugar,nota,n_opiniones,duracion
Coria Castillo con Nací princesa porque zorras sobraban,14€,Coria Castillo,Beer Station - Sala 1,9.5,414.0,"Duración
1 hora y 15 minutos"
Luis Álvaro - El espectáculo,12€,Luis Álvaro,Beer Station - Sala 1,9.0,186.0,"Duración
1 horas y 15 minutos"
Noches de comedia - Los mejores monólogos de MALASAÑA,8€,Raúl Fervé,Estación Malasaña,9.9,467.0,"Duración
1 hora"
Impro-Monologos,8€,Enrique el Grande,Clandestino Café Teatro,9.6,20.0,"Duración
1 hora"
Monólogos de humor - Chocita del Loro Gran vía,15€,La Chocita del Loro,Teatro Chocita del Loro - Gran Vía,8.8,14386.0,"Duración
1 hora y 30 minutos"
Mangos y Papayas - Gran Vía,"8,50€",Iván Perlaza; Javi Bueno,Cervecería Valverde Comedy Club - Gran Vía,9.8,81.0,"Duración
75 min"
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,12€,"Fer Bleda, Carles Cuevas",El Golfo Comedy Club,9.6,31.0,"Duración
70 minutos"
Poco se habla de Sexo - Madrid,8€,"Jorge Santos, Adrián Serna",El Sombrerero Comedy Club,9.9,21.0,"Duración
70 min"
"No soy yo, eres tú David Carrascosa",10€,David Carrascosa,Collage Burlesque,9.9,170.0,"Duración
65 minutos"
Diego Arjona - Me veo en Wallapop,12€,Diego Arjona,Sala Houdini,10.0,23.0,"Duración
60 minutos"
Arde Murcia,10€,Pedro Ángel Roca,Clandestino Café Teatro,9.9,35.0,"Duración
1 hora"
Arde Murcia,10€,Pedro Ángel Roca,Clandestino Café Teatro,9.9,35.0,"Duración
1 hora"
Albert Boira.- Que nos pille viviendo,12€,Albert Boira,El Golfo Comedy Club,9.5,28.0,"Duración
70 minutos"
Fango - Rober Bodegas,18€,Rober Bodegas,Pequeño Teatro Gran Vía de Madrid,9.5,355.0,"Idioma
Castellano"
"Borderline, Nico Lozano",10€,Nico Lozano,Teatro de las Aguas,9.1,50.0,"Duración
1 hora"
