nombre,precio,artista
Si te ríes: ¡Gano! - Concurso de monólogos (En Galileo Galilei),10€,El Remate Producciones
"MILF (Mujer inteligente, libre y feliz)",10€,"Belén Caccia, Victoria Santos, Laura del Val, Vero Jofre, Sandra U, Paula Pirela, Tatiana Ruiz, Tatiana Cirese"
"Daniel Fez. La vida Regulinchi, en Madrid",16€,Daniel Fez
El Unipersonal de Luciano Mellera,20€,
Momi Giardina - Cualquier cosa te llamamos,20€,
Luis Gerónimo Abreu - Camas,20€,
Alex Clavero y Karim - Noche de Monólogos,15€,"Alex Clavero, Karim, El francotirarock"
Nacho García en El Golfo Comedy Club,11€,"Nacho García, El Golfo Comedy Club"
La Estival - Misery class de Goyo Jimenez,25€,Goyo Jiménez
Transplantar,"11,20€",
Lo positivo de fracasar en el amor,"11,20€",Pablo Piñeiro
Miki Dkai: Personal Trainer,12€,Miki Dkai
Gente bien,10€,
¡Por fin solo!,16€,Carles Sans
Miguel Sincero - Píkaro,15€,"Miguel Sincero, La Chocita del Loro"
100% Risas y Humor - Mancheguito,10€,Marce Gonzalez
Racional - Pablo Molinari en Madrid,20€,Pablo Molinari
Curreles,10€,"Raúl Fervé, Toni Moret, Sofia Squittieri"
El cómico faltoso. Carlos Moreno,10€,Carlos Moreno
Taka Gómez - Plátano,10€,Taka Gómez
Fran Pati y Mikel Bermejo - MVPs,11€,"Fran Pati, Mikel Bermejo, El Golfo Comedy Club"
Micky McPhantom y Molina Gómez - ¿Todo Bien!,15€,"La Chocita del Loro, Micky McPhantom, Molina Gómez"
"Menú degustación, un show de de Darío Mares y Jorge Yorya",12€,Darío Mares; Jorge Yorya
Carmen Fresca - Un espectáculo de Carmen Alcayde,11€,Carmen Alcayde
Stand Up en el momento,5€,"Diego Daño, Varios Artistas"
Patxi Zubeldia.-  Bestia Parda,12€,"Patxi Zubeldia, El Golfo Comedy Club"
Isabel Rey.- Diva de Barrio,11€,"Isabel Rey, El Golfo Comedy Club"
"Nayra Pérez presenta Por mí, ya estaría",11€,"Beer Station, Nayra Pérez"
El Ahorcado Open Mic,9€,"Felipe Mateos, Juan Moreno, El Golfo Comedy Club"
