nombre_show,artista
De Albacete al fin del mundo - Rubén Faura,Rubén Faura
Manu Partida. Gafe.,Manu Partida
Rita Rojo.- ¡¿A quién no le va a gustar?!,"El Golfo Comedy Club, Rita Rojo"
"Isabel Rey - Diva de barrio, un show de comedia",Isabel Rey
Fran Pati: Moder-No,Fran Pati
"Nene, ¡Que me jodan! , un monólogo muy jodido",Nene
Felipe Mateos. El odio viene en frascos pequeños.,Felipe Mateos
Tiquismiquis - Mikel Bermejo,Mikel Bermejo
Pedro Ángel Roca.- Arde Murcia,"Pedro Ángel Roca, El Golfo Comedy Club"
"No es fácil ser fácil, de Silvia De Frente",Silvia De Frente
El Dojo Comedia,"Edu Halmoguera, Varios Artistas"
Monólogos en la Chocita del Loro Carabanchel,"Archie Bezos, Dani Alés, Raúl Navareño, Danny Boy-Rivera , Richard Salamanca, Alex Salaberri, David Cepo, La Chocita del Loro"
Un mancheguico por Madrid. Marce González,Merce Gonzalez
Ilusión. Javier Del Mar,Javier Del Mar
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,Carlos Suárez Iria Parada
Coria Castillo con Nací princesa porque zorras sobraban,Coria Castillo
Luis Álvaro - El espectáculo,Luis Álvaro
Noches de comedia - Los mejores monólogos de MALASAÑA,Raúl Fervé
Impro-Monologos,Enrique el Grande
Monólogos de humor - Chocita del Loro Gran vía,La Chocita del Loro
Mangos y Papayas - Gran Vía,Iván Perlaza; Javi Bueno
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,"Fer Bleda, Carles Cuevas"
Poco se habla de Sexo - Madrid,"Jorge Santos, Adrián Serna"
"No soy yo, eres tú David Carrascosa",David Carrascosa
Diego Arjona - Me veo en Wallapop,Diego Arjona
Arde Murcia,Pedro Ángel Roca
Arde Murcia,Pedro Ángel Roca
Albert Boira.- Que nos pille viviendo,Albert Boira
Fango - Rober Bodegas,Rober Bodegas
"Borderline, Nico Lozano",Nico Lozano
Mangos y Papayas: Javi Bueno & Iván Perlaza,Javi Bueno; Iván Perlará
"Malasañero para principantes, de Manu Kas",Manu Kas
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,Richard Salamanca
Super Duper. Mario Velasco,Mario Velasco
Sparks- El show de humor negro - Silvia Sparks,
Open Open Mic. El micro abierto más abierto.,"Patricia Muñoz, Fer Bleda"
Paula Púa.- Traca. Un monólogo de una hija única.,Paula Púa
Vermut Rojo Open Mic,"Javi Delpe, El Remate Producciones"
Ladys Night en Beer Station,Nayra Pérez
No Disparen al Cómico - Manu Chacón,Manu Chacón
