nombre_show,tipo_show,precio,duracion,artista,local,nota_atrapalo,numero_opiniones
Es mi palabra contra la mía - Luís Piedrahita,show,15.2,90.0,Luís Piedrahita,Teatro Reina Victoria,9.4,1114
"Dani Alés - Tabú, un monólogo inadecuado",show,14.0,70.0,Dani Alés,Beer Station,9.5,107
"Tinder Sorpresa - Andreu Casanova, en Madrid",show,16.0,90.0,Andreu Casanova,Cine Palacio de la Prensa,9.1,1822
El Micro de las Aguas. Open Mic,open_mic,10.0,75.0,,Teatro de las Aguas,10.0,18
La España Vaciada,show,14.0,90.0,"Juanjo Albiñana, Roberto Gontán, Jesús Arenas, Fran Pati, Sala de Humor Fuencarral",Cinesa Fuencarral,9.9,14
"Stand Up Comedy, In English",show,10.0,75.0,Mike Damanti,Teatro de las Aguas,9.7,118
Álex Clavero - La Nueva Normalidad,show,16.0,,Alex Clavero,Teatro Capitol Gran Vía,9.7,170
Alex Salaberri. Qué le pasa doctor.,show,11.0,70.0,Alex Salaberri,El Golfo Comedy Club,9.9,117
Diego Arjona - ¡Aquí no hay playa!,show,12.0,70.0,Diego Arjona,Beer Station,9.7,69
"Carlos Librado, NENE",show,11.0,95.0,Carlos Librado Nene,El Golfo Comedy Club,9.8,20
"YO NUNCA SHOW,  de Raúl Massana",show,10.0,60.0,"Raúl, Beer Station, el Massana",Beer Station,9.5,147
Javi Durán - Fracashow en Beer Station,show,14.0,60.0,"Javi Durán, Beer Station",Beer Station,9.2,136
Un Monólogo de Puta Madre - Juan Morales,show,10.0,60.0,Juan Morales,Teatro de las Aguas,9.6,77
Predicadores de la impro,show,10.0,70.0,"David Carrascosa, Dani Jota, Mercuria Teatro",Teatro de las Aguas,9.8,310
Laura del Val- De Burgos también se sale,show,11.0,70.0,"Laura del Val, El Golfo Comedy Club",El Golfo Comedy Club,9.7,75
Comedia Subterránea. Open Mic,open_mic,7.0,60.0,,Teatro de las Aguas,9.8,24
"Alicia Lobo - Hola, no me líes",show,9.6,70.0,Alicia Lobo,Cinesa Fuencarral,10.0,20
Mangos y Papayas: Ivan Perlaza & Javi Bueno,show,10.0,70.0,Javi Bueno; Iván Perlaza,El Sombrerero Comedy Club,9.8,43
Goloso de Micro.,show,10.0,120.0,"Diego Daño, Eva Soriano, Fran Pati, Nacho García, El Golfo Comedy Club",El Golfo Comedy Club,9.1,125
Yo maté al Rey León - Dani Delacámara,show,10.0,90.0,"Sala de Humor Fuencarral, Dani delacámara",Cinesa Fuencarral,9.5,359
"La Cueva Comedy  Club, Open Mic!!!",open_mic,6.0,60.0,La Cueva Comedy Club,Teatro de las Aguas,9.1,312
Open Beer - Open Mic de stand-up comedy,open_mic,8.0,70.0,"Dani Alés, Beer Station",Beer Station,9.4,133
Alex Gozalo. Tiempos confusos.,show,12.0,70.0,Alex Gozalo,El Golfo Comedy Club,9.5,23
De Albacete al fin del mundo - Rubén Faura,show,8.0,60.0,Rubén Faura,Estación Malasaña,9.7,275
Manu Partida. Gafe.,show,12.0,70.0,Manu Partida,El Golfo Comedy Club,9.8,44
Rita Rojo.- ¡¿A quién no le va a gustar?!,show,11.0,70.0,"El Golfo Comedy Club, Rita Rojo",El Golfo Comedy Club,9.9,24
"Isabel Rey - Diva de barrio, un show de comedia",show,10.0,60.0,Isabel Rey,Beer Station,9.8,28
Fran Pati: Moder-No,show,11.0,70.0,Fran Pati,El Golfo Comedy Club,9.7,112
"Nene, ¡Que me jodan! , un monólogo muy jodido",show,12.0,70.0,Nene,Beer Station,9.3,32
Felipe Mateos. El odio viene en frascos pequeños.,show,11.0,70.0,Felipe Mateos,El Golfo Comedy Club,9.7,52
Tiquismiquis - Mikel Bermejo,show,15.0,,,Teatro Arlequín Gran Vía,9.6,199
Pedro Ángel Roca.- Arde Murcia,show,11.0,70.0,"Pedro Ángel Roca, El Golfo Comedy Club",El Golfo Comedy Club,9.9,34
"No es fácil ser fácil, de Silvia De Frente",show,12.0,70.0,Silvia De Frente,El Golfo Comedy Club,9.8,74
El Dojo Comedia,show,8.0,70.0,"Edu Halmoguera, Varios Artistas",El Golfo Comedy Club,9.6,150
Monólogos en la Chocita del Loro Carabanchel,show,10.0,80.0,"Archie Bezos, Dani Alés, Raúl Navareño, Danny Boy-Rivera , Richard Salamanca, Alex Salaberri, David Cepo, La Chocita del Loro",Teatro Chocita del Loro - Carabanchel,8.9,5208
Un mancheguico por Madrid. Marce González,show,10.0,60.0,Merce Gonzalez,Teatro de las Aguas,9.6,72
Ilusión. Javier Del Mar,show,10.0,60.0,Javier Del Mar,Teatro de las Aguas,9.1,20
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,show,11.0,60.0,Carlos Suárez Iria Parada,Beer Station,9.6,29
Coria Castillo con Nací princesa porque zorras sobraban,show,14.0,75.0,Coria Castillo,Beer Station,9.5,414
Luis Álvaro - El espectáculo,show,12.0,75.0,Luis Álvaro,Beer Station,9.0,186
Noches de comedia - Los mejores monólogos de MALASAÑA,cuenta_local,8.0,60.0,Raúl Fervé,Estación Malasaña,9.9,467
Impro-Monologos,show,8.0,60.0,Enrique el Grande,Clandestino Café Teatro,9.6,20
Monólogos de humor - Chocita del Loro Gran vía,show,15.0,90.0,La Chocita del Loro,Teatro Chocita del Loro - Gran Vía,8.8,14386
Mangos y Papayas - Gran Vía,show,8.5,75.0,Iván Perlaza; Javi Bueno,Cervecería Valverde Comedy Club,9.8,81
