nombre_show,artistas_limpio
"La Cueva Comedy  Club, Open Mic!!!",rotativo
Open Beer - Open Mic de stand-up comedy,rotativo
Alex Gozalo. Tiempos confusos.,Alex Gozalo
De Albacete al fin del mundo - Rubén Faura,Rubén Faura
Manu Partida. Gafe.,Manu Partida
Rita Rojo.- ¡¿A quién no le va a gustar?!,Rita Rojo
"Isabel Rey - Diva de barrio, un show de comedia",Isabel Rey
Fran Pati: Moder-No,Fran Pati
"Nene, ¡Que me jodan! , un monólogo muy jodido",Nene
Felipe Mateos. El odio viene en frascos pequeños.,Felipe Mateos
Tiquismiquis - Mikel Bermejo,Mikel Bermejo
Pedro Ángel Roca.- Arde Murcia,Pedro Ángel Roca
"No es fácil ser fácil, de Silvia De Frente",Silvia De Frente
El Dojo Comedia,"Edu Halmoguera, Varios Artistas"
Monólogos en la Chocita del Loro Carabanchel,"Archie Bezos, Dani Alés, Raúl Navareño, Danny Boy-Rivera , Richard Salamanca, Alex Salaberri, David Cepo"
Un mancheguico por Madrid. Marce González,Merce Gonzalez
Ilusión. Javier Del Mar,Javier Del Mar
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,Carlos Suárez Iria Parada
Coria Castillo con Nací princesa porque zorras sobraban,Coria Castillo
Luis Álvaro - El espectáculo,Luis Álvaro
Noches de comedia - Los mejores monólogos de MALASAÑA,varios
Impro-Monologos,Enrique el Grande
Monólogos de humor - Chocita del Loro Gran vía,
Mangos y Papayas - Gran Vía,"Iván Perlaza, Javi Bueno"
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,"Fer Bleda, Carles Cuevas"
Poco se habla de Sexo - Madrid,"Jorge Santos, Adrián Serna"
"No soy yo, eres tú David Carrascosa",David Carrascosa
Diego Arjona - Me veo en Wallapop,Diego Arjona
Albert Boira.- Que nos pille viviendo,Albert Boira
Fango - Rober Bodegas,Rober Bodegas
"Borderline, Nico Lozano",Nico Lozano
Mangos y Papayas: Javi Bueno & Iván Perlaza,"Javi Bueno, Iván Perlará"
"Malasañero para principantes, de Manu Kas",Manu Kas
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,rotativo
Super Duper. Mario Velasco,Mario Velasco
Sparks- El show de humor negro - Silvia Sparks,Silvia Sparks
Open Open Mic. El micro abierto más abierto.,rotativo
Paula Púa.- Traca. Un monólogo de una hija única.,Paula Púa
Vermut Rojo Open Mic,rotativo
Ladys Night en Beer Station,Nayra Pérez
No Disparen al Cómico - Manu Chacón,Manu Chacón
"Femininity, un show de Patri Muñoz",Patri Muñoz
Diego Daño. Viviendo para Instagram,Diego Daño
Juan Moreno presenta ¡Embustero!,Juan Moreno
Kalderas - Stand Up Comedy,Kalderas
Open Magic,rotativo
Alberto Sierra. De profesión: gafas.,Alberto Sierra
Teatro y monologos. Viernes llenos de arte.,
Sinacio presenta Toca Reír,Sinacio
Vero Berenguer y Sandra U.- Enfermizas,"Sandra U, Vero Berenguer"
Lgtb Comedy Jam,varios
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,"Bianca Kovacs, Carmen Romero"
Malhablado - Un show de Raúl Fervé,Raúl Fervé
"Nacho García: Estoy mayor, en Madrid",Nacho García
Los 30 son los nuevos ...  ¡Vete a la mierda! - Jorge Santos,Jorge Santos
Los 30 son los nuevos ... ¡Vete a la mierda! - Jorge Santos,Jorge Santos
Ruta 66 Open Mic,rotativo
Silvia Sparks. El show de humor negro,Silvia Sparks
Par de notas - Álvaro Seko y Fernando 'El Pelao',"Alvaro Seko, Fernando 'El Pelao'"
La Factoría de la Comedia - Openmic,rotativo
"Comedia Sin Miedo Open Mic , monologo de standup comedy",rotativo
Eva Cabezas. A las calles,Eva Cabezas
La Maricomedia - Un Show Drag Heterofriendly,Dramma D'Onore
"Barbie Boy, un monólogo de comedia tartamuda",El Gago
Monólogos - El Remate Producciones en Tropicana Beach Club,
Vagos y maleantes,"edu battaner, serna"
"Open Mic, La Trinchera",rotativo
De Madrid Al Suelo,"Juan de Dios, Oscar Nos"
No te atasques con tu vida - Joan Natzari,Joan Natzari
Momentos de ternura. Con Edu Halmoguera y Pablo Medina,Pablo Medina
Chic  Comedy - Monólogos,"Javi Delpe, Javi DelPe"
Los perros no hablan,"Paco Páez, Charlie Under"
Los Monólogos de Clandestino Café-Teatro Gran vía,varios
¡Tampoco es para tanto! - Javi Bravo,Javi Bravo
No + Reglas,"Carlos Moreno, Daniel Celester"
¡Hostia Patxi! un monólogo en Madrid,Patxi Zubeldia
El micro abierto de la Estupenda,rotativo
Comedia sin Límites - Monólogos y mucho más,"Juan Solo, Richard Salamanca"
Archie Bezos.- graciOSO,Archie Bezos
Dos Gordos muy Grasiosos,"Javi Delpe, Aitor Vega"
Tinder Sorpresa,Andreu Casanova
Punch Comedy English.- Stand up Comedy in English,Silvia Sparks
Juanma Molina y Ruinas Planchuelo - Del Sur,"Ruinas Planchuelo, Juanma Molina"
Luismi - Colocado cabe 4.0,Luismi
Fernando García - Lo que yo sé de las mujeres,Fernando García-Torres
Comedy Rally,Bhonny Lorenzo
Estación Comedy,varios
Kabraloker - Mas Loco Que Una Cabra,Gustavo Biosca
Soy Tóxica,"Victoria Santos, Yolanda Mora, Noa Sánchez ""La muñeka"""
Probando material,Gustavo Capiello
"Dos Gordos muy Grasiosos, en Estupenda Bar","Javi Delpe, Aitor Vega"
Si te ríes: ¡Gano! - Concurso de monólogos (En Galileo Galilei),rotativo
"MILF (Mujer inteligente, libre y feliz)","Belén Caccia, Victoria Santos, Laura del Val, Vero Jofre, Sandra U, Paula Pirela, Tatiana Ruiz, Tatiana Cirese"
"Daniel Fez. La vida Regulinchi, en Madrid",Daniel Fez
El Unipersonal de Luciano Mellera,Luciano Mellera
Momi Giardina - Cualquier cosa te llamamos,Momi Giardina
Racional - Pablo Molinari en Madrid,Pablo Molinari
