show,tipo,precio,duracion,artista,local,nota,opiniones
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, eva y qué,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, alex salaberri,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, álvaro casares,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, david cepo,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, archie bezos,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Arde Murcia,show,10.0,75.0,pedro ángel roca,Abonavida,9.8,50.0
Es mi palabra contra la mía - Luís Piedrahita,show,15.2,90.0,luís piedrahita,Teatro Reina Victoria,9.4,1114.0
"Dani Alés - Tabú, un monólogo inadecuado",show,14.0,70.0,dani alés,Beer Station,9.5,107.0
"Tinder Sorpresa - Andreu Casanova, en Madrid",show,16.0,90.0,andreu casanova,Cine Palacio de la Prensa,9.1,1822.0
La España Vaciada,show,14.0,90.0,juanjo albiñana,Cinesa Fuencarral,9.9,14.0
La España Vaciada,show,14.0,90.0, roberto gontán,Cinesa Fuencarral,9.9,14.0
La España Vaciada,show,14.0,90.0, jesús arenas,Cinesa Fuencarral,9.9,14.0
La España Vaciada,show,14.0,90.0, fran pati,Cinesa Fuencarral,9.9,14.0
"Stand Up Comedy, In English",show,10.0,75.0,mike damanti,Teatro de las Aguas,9.7,118.0
Álex Clavero - La Nueva Normalidad,show,16.0,60.0,alex clavero,Teatro Capitol Gran Vía,9.7,170.0
Diego Arjona - ¡Aquí no hay playa!,show,12.0,70.0,diego arjona,Beer Station,9.7,69.0
"Carlos Librado, NENE",show,11.0,95.0,carlos librado nene,El Golfo Comedy Club,9.8,20.0
"YO NUNCA SHOW,  de Raúl Massana",show,10.0,60.0,raúl massana,Beer Station,9.5,147.0
